id,ticker_symbol,company_name,cik_number
1290,byd,BOYD GAMING CORP ,906553
1291,byfc,BROADWAY FINANCIAL CORP \DE\ ,1001171
1292,byin,Baying Ecological Holding Group Inc. ,1333519
1293,bynd,"BEYOND MEAT, INC. ",1655210
1294,byoc,"Beyond Commerce, Inc. ",1386049
1295,byrn,Byrna Technologies Inc. ,1354866
1296,bysi,BeyondSpring Inc. ,1677940
1297,bzh,BEAZER HOMES USA INC ,915840
1298,bzrd,"Blubuzzard, Inc. ",1765826
1299,bzun,Baozun Inc. ,1625414
1300,bzyr,BURZYNSKI RESEARCH INSTITUTE INC ,724445
1301,c,CITIGROUP INC ,831001
1302,ca,"CA, INC. ",356028
1303,caap,CORPORACION AMERICA AIRPORTS S.A. ,1717393
1304,caas,CHINA AUTOMOTIVE SYSTEMS INC ,1157762
1305,caba,"Cabaletta Bio, Inc. ",1759138
1306,cabo,"Cable One, Inc. ",1632127
1307,cac,CAMDEN NATIONAL CORP ,750686
1308,caca,"China Crawfish, Ltd. ",1629702
1309,cacc,CREDIT ACCEPTANCE CORP ,885550
1310,caci,CACI INTERNATIONAL INC /DE/ ,16058
1311,cade,Cadence Bancorporation ,1614184
1312,cadnf,CASCADES INC ,1225525
1313,cae,CAE INC ,1173382
1314,cafd,8point3 Energy Partners LP ,1635581
1315,cag,CONAGRA BRANDS INC. ,23217
1316,cah,CARDINAL HEALTH INC ,721371
1317,cai,"CAI International, Inc. ",1388430
1318,caj,CANON INC ,16988
1319,cake,CHEESECAKE FACTORY INC ,887596
1320,cal,CALERES INC ,14707
1321,cala,"Calithera Biosciences, Inc. ",1496671
1322,calb,California BanCorp ,1752036
1323,cald,CALLIDUS SOFTWARE INC ,1035748
1324,cali,China Auto Logistics Inc ,1355042
1325,calm,CAL-MAINE FOODS INC ,16160
1326,calt,Calliditas Therapeutics AB ,1795579
1327,calx,"CALIX, INC ",1406666
1328,camp,CalAmp Corp. ,730255
1329,camt,CAMTEK LTD ,1109138
1330,can,Canaan Inc. ,1780652
1331,canb,Can B Corp ,1509957
1332,cane,Teucrium Commodity Trust ,1471824
1333,canf,Can-Fite BioPharma Ltd. ,1536196
1334,cang,Cango Inc. ,1725123
1335,cann,GENERAL CANNABIS CORP ,1477009
1336,capc,"CAPSTONE COMPANIES, INC. ",814926
1337,capd,"CANNAPOWDER, INC. ",1086082
1338,cape,BARCLAYS BANK PLC ,312070
1339,capl,CrossAmerica Partners LP ,1538849
1340,capr,"CAPRICOR THERAPEUTICS, INC. ",1133869
1341,caps,Capstone Therapeutics Corp. ,887151
1342,car,"AVIS BUDGET GROUP, INC. ",723612
1343,cara,"Cara Therapeutics, Inc. ",1346830
1344,carg,"CarGurus, Inc. ",1494259
1345,carh,"Car House Holding Co., Ltd. ",1787100
1346,caro,CAROLINA FINANCIAL CORP ,870385
1347,carr,Carrier Global Corp ,1783180
1348,cars,Cars.com Inc. ,1683606
1349,carv,CARVER BANCORP INC ,1016178
1350,casa,Casa Systems Inc ,1333835
1351,cash,META FINANCIAL GROUP INC ,907471
1352,casi,"CASI Pharmaceuticals, Inc. ",895051
1353,casm,CAS MEDICAL SYSTEMS INC ,764579
1354,cass,CASS INFORMATION SYSTEMS INC ,708781
1355,casy,CASEYS GENERAL STORES INC ,726958
1356,cat,CATERPILLAR INC ,18230
1357,catb,CATABASIS PHARMACEUTICALS INC ,1454789
1358,catc,CAMBRIDGE BANCORP ,711772
1359,catm,Cardtronics plc ,1671013
1360,catn,CAT9 Group Inc. ,1632275
1361,cato,CATO CORP ,18255
1362,cats,"Ontrak, Inc. ",1136174
1363,caty,CATHAY GENERAL BANCORP ,861842
1364,cavm,"CAVIUM, INC. ",1175609
1365,caw,CCA INDUSTRIES INC ,721447
1366,cb,Chubb Ltd ,896159
1367,cbai,"CBA Florida, Inc. ",1289496
1368,cban,COLONY BANKCORP INC ,711669
1369,cbat,"CBAK Energy Technology, Inc. ",1117171
1370,cbay,"CymaBay Therapeutics, Inc. ",1042074
1371,cbb,CINCINNATI BELL INC ,716133
1372,cbd,BRAZILIAN DISTRIBUTION CO COMPANHIA BRASILEIRA DE DISTR CBD ,1038572
1373,cbdef,BlueNRGY Group Ltd ,1539042
1374,cbds,"Cannabis Sativa, Inc. ",1360442
1375,cbdy,Target Group Inc. ,1586554
1376,cbev,CAPITAL BEVERAGE CORP ,1020186
1377,cbf,Capital Bank Financial Corp. ,1479750
1378,cbfv,"CB Financial Services, Inc. ",1605301
1379,cbio,"CATALYST BIOSCIENCES, INC. ",1124105
1380,cbkc,CHRISTOPHER & BANKS CORP ,883943
1381,cbkm,CONSUMERS BANCORP INC /OH/ ,1006830
1382,cbl,CBL & ASSOCIATES PROPERTIES INC ,910612
1383,cbli,CLEVELAND BIOLABS INC ,1318641
1384,cbmb,"CBM BANCORP, INC. ",1742089
1385,cbmg,"Cellular Biomedicine Group, Inc. ",1378624
1386,cbmx,CombiMatrix Corp ,1383183
1387,cbnk,Capital Bancorp Inc ,1419536
1388,cbnt,"C-Bond Systems, Inc ",1421636
1389,cboe,"Cboe Global Markets, Inc. ",1374310
1390,cbpo,"China Biologic Products Holdings, Inc. ",1369868
1391,cbpx,"Continental Building Products, Inc. ",1592480
1392,cbre,"CBRE GROUP, INC. ",1138118
1393,cbrl,"CRACKER BARREL OLD COUNTRY STORE, INC ",1067294
1394,cbs,ViacomCBS Inc. ,813828
1395,cbsh,COMMERCE BANCSHARES INC /MO/ ,22356
1396,cbt,CABOT CORP ,16040
1397,cbtx,"CBTX, Inc. ",1473844
1398,cbu,"COMMUNITY BANK SYSTEM, INC. ",723188
1399,cbz,"CBIZ, Inc. ",944148
1400,cc,Chemours Co ,1627223
1401,ccaa,CALA CORP ,794107
1402,ccac,CITIC Capital Acquisition Corp. ,1794621
1403,ccac-un,CITIC Capital Acquisition Corp. ,1794621
1404,ccan,CANADIAN CANNABIS CORP. ,1532424
1405,ccap,"Crescent Capital BDC, Inc. ",1633336
1406,ccb,COASTAL FINANCIAL CORP ,1437958
1407,ccbg,CAPITAL CITY BANK GROUP INC ,726601
1408,ccc,CLARIVATE Plc ,1764046
1409,cccl,"China Ceramics Co., Ltd ",1470683
1410,ccel,CRYO CELL INTERNATIONAL INC ,862692
1411,ccep,COCA-COLA EUROPEAN PARTNERS plc ,1650107
1412,ccf,CHASE CORP ,830524
1413,ccgn,"Consumer Capital Group, Inc. ",1439299
1414,cch,Collier Creek Holdings ,1739566
1415,cch-un,Collier Creek Holdings ,1739566
1416,cch-wt,Collier Creek Holdings ,1739566
1417,cci,CROWN CASTLE INTERNATIONAL CORP ,1051470
1418,ccihy,ChinaCache International Holdings Ltd. ,1498576
1419,cci-pa,CROWN CASTLE INTERNATIONAL CORP ,1051470
1420,cciv-un,Churchill Capital Corp IV ,1811210
1421,ccj,CAMECO CORP ,1009001
1422,cck,CROWN HOLDINGS INC ,1219601
1423,ccl,CARNIVAL CORP ,815097
1424,cclp,CSI Compressco LP ,1449488
1425,ccm,Concord Medical Services Holdings Ltd ,1472072
1426,ccmp,CABOT MICROELECTRONICS CORP ,1102934
1427,ccnc,Code Chain New Continent Ltd ,1641398
1428,ccncw,Code Chain New Continent Ltd ,1641398
1429,ccne,CNB FINANCIAL CORP/PA ,736772
1430,cco,"Clear Channel Outdoor Holdings, Inc. ",1334978
1431,ccob,Century Cobalt Corp. ,1456802
1432,ccoi,"COGENT COMMUNICATIONS HOLDINGS, INC. ",1158324
1433,ccop,COMPETITIVE COMPANIES INC ,1161706
1434,ccr,CONSOL Coal Resources LP ,1637558
1435,ccrc,"China Customer Relations Centers, Inc. ",1620664
1436,ccre,CAN CAL RESOURCES LTD ,1083848
1437,ccrn,CROSS COUNTRY HEALTHCARE INC ,1141103
1438,ccs,"Century Communities, Inc. ",1576940
1439,ccsb,"Community Savings Bancorp, Inc. ",1682593
1440,cctc,Clean Coal Technologies Inc. ,1445109
1441,ccu,UNITED BREWERIES CO INC ,888746
1442,ccur,"CCUR Holdings, Inc. ",749038
1443,ccx,Churchill Capital Corp II ,1774675
1444,ccxi,"ChemoCentryx, Inc. ",1340652
1445,ccx-un,Churchill Capital Corp II ,1774675
1446,ccx-wt,Churchill Capital Corp II ,1774675
1447,ccxx,Churchill Capital Corp III ,1793229
1448,ccxx-un,Churchill Capital Corp III ,1793229
1449,ccxx-wt,Churchill Capital Corp III ,1793229
1450,ccyc,Clancy Corp ,1681769
1451,ccycd,Clancy Corp ,1681769
1452,ccz,COMCAST CORP ,1166691
1453,cdak,"Codiak BioSciences, Inc. ",1659352
1454,cday,Ceridian HCM Holding Inc. ,1725057
1455,cde,"Coeur Mining, Inc. ",215466
1456,cdev,"Centennial Resource Development, Inc. ",1658566
1457,cdix,Cardiff Lexington Corp ,811222
1458,cdixd,Cardiff Lexington Corp ,811222
1459,cdjm,"Carnegie Development, Inc ",1024095
1460,cdk,"CDK Global, Inc. ",1609702
1461,cdlx,"Cardlytics, Inc. ",1666071
1462,cdmo,"Avid Bioservices, Inc. ",704562
1463,cdmop,"Avid Bioservices, Inc. ",704562
1464,cdna,"CareDx, Inc. ",1217234
1465,cdns,CADENCE DESIGN SYSTEMS INC ,813672
1466,cdor,"CONDOR HOSPITALITY TRUST, INC. ",929545
1467,cdp,"CDP Holdings, Ltd ",1786485
1468,cdr,"CEDAR REALTY TRUST, INC. ",761648
1469,cdr-pb,"CEDAR REALTY TRUST, INC. ",761648
1470,cdr-pc,"CEDAR REALTY TRUST, INC. ",761648
1471,cdti,"CDTI ADVANCED MATERIALS, INC. ",949428
1472,cdtx,"Cidara Therapeutics, Inc. ",1610618
1473,cdw,CDW Corp ,1402057
1474,cdxc,ChromaDex Corp. ,1386570
1475,cdxi,"CARDAX, INC. ",1544238
1476,cdxs,"CODEXIS, INC. ",1200375
1477,cdzi,CADIZ INC ,727273
1478,ce,Celanese Corp ,1306830
1479,cea,CHINA EASTERN AIRLINES CORP LTD ,1030475
1480,cece,CECO ENVIRONMENTAL CORP ,3197
1481,cef,Sprott Physical Gold & Silver Trust ,1726122
1482,cefd,UBS AG ,1114446
1483,cefl,UBS AG ,1114446
1484,cefz,UBS AG ,1114446
1485,cei,"CAMBER ENERGY, INC. ",1309082
1486,ceix,CONSOL Energy Inc. ,1710366
1487,cel,Cellcom Israel Ltd. ,1385145
1488,celc,Celcuity Inc. ,1603454
1489,celg-ri,BRISTOL MYERS SQUIBB CO ,14272
1490,celh,"Celsius Holdings, Inc. ",1341766
1491,celp,"Cypress Environmental Partners, L.P. ",1587246
1492,celz,"CREATIVE MEDICAL TECHNOLOGY HOLDINGS, INC. ",1187953
1493,cemi,"CHEMBIO DIAGNOSTICS, INC. ",1092662
1494,cent,CENTRAL GARDEN & PET CO ,887733
1495,centa,CENTRAL GARDEN & PET CO ,887733
1496,cenx,CENTURY ALUMINUM CO ,949157
1497,ceo,CNOOC LTD ,1095595
1498,cepu,CENTRAL PUERTO S.A. ,1717161
1499,ceqp,Crestwood Equity Partners LP ,1136352
1500,ceqp-p,Crestwood Equity Partners LP ,1136352
1501,cerc,Cerecor Inc. ,1534120
1502,cern,CERNER Corp ,804753
1503,cers,CERUS CORP ,1020214
1504,cetv,CENTRAL EUROPEAN MEDIA ENTERPRISES LTD ,925645
1505,cetx,CEMTREX INC ,1435064
1506,cetxp,CEMTREX INC ,1435064
1507,cetxw,CEMTREX INC ,1435064
1508,cety,"Clean Energy Technologies, Inc. ",1329606
1509,ceva,CEVA INC ,1173489
1510,cf,"CF Industries Holdings, Inc. ",1324404
1511,cfb,"CROSSFIRST BANKSHARES, INC. ",1458412
1512,cfbi,"Community First Bancshares, Inc. ",1691507
1513,cfbk,CF BANKSHARES INC. ,1070680
1514,cfdb,"Central Federal Bancshares, Inc ",1651987
1515,cffa,CF Finance Acquisition Corp. ,1728041
1516,cffau,CF Finance Acquisition Corp. ,1728041
1517,cffaw,CF Finance Acquisition Corp. ,1728041
1518,cffi,C & F FINANCIAL CORP ,913341
1519,cffn,"Capitol Federal Financial, Inc. ",1490906
1520,cfg,CITIZENS FINANCIAL GROUP INC/RI ,759944
1521,cfg-pd,CITIZENS FINANCIAL GROUP INC/RI ,759944
1522,cfg-pe,CITIZENS FINANCIAL GROUP INC/RI ,759944
1523,cfms,Conformis Inc ,1305773
1524,cfnb,CALIFORNIA FIRST NATIONAL BANCORP ,803016
1525,cfoo,China Foods Holdings Ltd. ,1310630
1526,cfr,"CULLEN/FROST BANKERS, INC. ",39263
1527,cfrx,CONTRAFECT Corp ,1478069
1528,cfx,Colfax CORP ,1420800
1529,cg,Carlyle Group Inc. ,1527166
1530,cga,"China Green Agriculture, Inc. ",857949
1531,cgac,CODE GREEN APPAREL CORP ,1444403
1532,cgc,Canopy Growth Corp ,1737927
1533,cgen,COMPUGEN LTD ,1119774
1534,cgix,"CANCER GENETICS, INC ",1349929
1535,cgld,Buscar Co ,1518380
1536,cglo,Coro Global Inc. ,842013
1537,cgnx,COGNEX CORP ,851205
1538,cgro,Collective Growth Corp ,1799611
1539,cgrou,Collective Growth Corp ,1799611
1540,cgrow,Collective Growth Corp ,1799611
1541,cgyg,CHINA LONGYI GROUP INTERNATIONAL HOLDINGS LTD ,1010566
1542,cha,CHINA TELECOM CORP LTD ,1191255
1543,chap,"Chaparral Energy, Inc. ",1346980
1544,chaq,Chardan Healthcare Acquisition 2 Corp. ,1799850
1545,chaq-un,Chardan Healthcare Acquisition 2 Corp. ,1799850
1546,chaq-wt,Chardan Healthcare Acquisition 2 Corp. ,1799850
1547,chci,"Comstock Holding Companies, Inc. ",1299969
1548,chco,CITY HOLDING CO ,726854
1549,chcr,"Advanzeon Solutions, Inc. ",22872
1550,chct,Community Healthcare Trust Inc ,1631569
1551,chd,CHURCH & DWIGHT CO INC /DE/ ,313927
1552,chdn,CHURCHILL DOWNS Inc ,20212
1553,che,CHEMED CORP ,19584
1554,chef,"Chefs' Warehouse, Inc. ",1517175
1555,chek,Check-Cap Ltd ,1610590
1556,chekz,Check-Cap Ltd ,1610590
1557,chfn,CHARTER FINANCIAL CORP ,1478726
1558,chfs,"CHF Solutions, Inc. ",1506492
1559,chgg,"CHEGG, INC ",1364954
1560,chgi,"China Carbon Graphite Group, Inc. ",1284450
1561,chh,CHOICE HOTELS INTERNATIONAL INC /DE ,1046311
1562,chhe,"China Health Industries Holdings, Inc. ",1309057
1563,chit,"CHERUBIM INTERESTS, INC. ",1421865
1564,chk,CHESAPEAKE ENERGY CORP ,895126
1565,chkaq,CHESAPEAKE ENERGY CORP ,895126
1566,chkdg,CHESAPEAKE ENERGY CORP ,895126
1567,chkdj,CHESAPEAKE ENERGY CORP ,895126
1568,chkdp,CHESAPEAKE ENERGY CORP ,895126
1569,chkgq,CHESAPEAKE ENERGY CORP ,895126
1570,chklq,CHESAPEAKE ENERGY CORP ,895126
1571,chkp,CHECK POINT SOFTWARE TECHNOLOGIES LTD ,1015922
1572,chk-pd,CHESAPEAKE ENERGY CORP ,895126
1573,chkpq,CHESAPEAKE ENERGY CORP ,895126
1574,chkr,CHESAPEAKE GRANITE WASH TRUST ,1524769
1575,chkvp,CHESAPEAKE ENERGY CORP ,895126
1576,chkvq,CHESAPEAKE ENERGY CORP ,895126
1577,chl,CHINA MOBILE LTD /ADR/ ,1117795
1578,chma,"CHIASMA, INC ",1339469
1579,chmd,Median Group Inc ,1211211
1580,chmg,CHEMUNG FINANCIAL CORP ,763563
1581,chmi,Cherry Hill Mortgage Investment Corp ,1571776
1582,chnd,CHINA MEDIA INC. ,1434674
1583,chng,Change Healthcare Inc. ,1756497
1584,chngu,Change Healthcare Inc. ,1756497
1585,chnr,CHINA NATURAL RESOURCES INC ,793628
1586,chod,"ENERKON SOLAR INTERNATIONAL, INC. ",802510
1587,chpm,CHP Merger Corp. ,1785041
1588,chpmu,CHP Merger Corp. ,1785041
1589,chpmw,CHP Merger Corp. ,1785041
1590,chra,"Charah Solutions, Inc. ",1730346
1591,chrs,"Coherus BioSciences, Inc. ",1512762
1592,chrw,"C. H. ROBINSON WORLDWIDE, INC. ",1043277
1593,chs,"CHICO'S FAS, INC. ",897429
1594,chscl,CHS INC ,823277
1595,chscm,CHS INC ,823277
1596,chscn,CHS INC ,823277
1597,chsco,CHS INC ,823277
1598,chscp,CHS INC ,823277
1599,chso,China Shouguan Investment Holding Group Corp ,1493893
1600,cht,CHUNGHWA TELECOM CO LTD ,1132924
1601,chtr,"CHARTER COMMUNICATIONS, INC. /MO/ ",1091667
1602,chu,CHINA UNICOM (HONG KONG) Ltd ,1113866
1603,chuc,"Charlie's Holdings, Inc. ",1134765
1604,chuy,"CHUY'S HOLDINGS, INC. ",1524931
1605,chwe,CHINAWE COM INC ,1043222
1606,chwy,"Chewy, Inc. ",1766502
1607,chx,ChampionX Corp ,1723089
1608,chyl,China Senior Living Industry International Holding Corp ,805729
1609,ci,Cigna Corp ,1739940
1610,cia,"CITIZENS, INC. ",24090
1611,cib,BANCOLOMBIA SA ,1071371
1612,cicn,CICERO INC ,945384
1613,cidm,Cinedigm Corp. ,1173204
1614,cien,CIENA CORP ,936395
1615,cifs,Hudson Capital Inc. ,1687542
1616,cig,ENERGY CO OF MINAS GERAIS ,1157557
1617,cig-c,ENERGY CO OF MINAS GERAIS ,1157557
1618,cigi,Colliers International Group Inc. ,913353
1619,cih,China Index Holdings Ltd ,1749797
1620,ciic,CIIG Merger Corp. ,1789760
1621,ciicu,CIIG Merger Corp. ,1789760
1622,ciit,"Tianci International, Inc. ",1557798
1623,ciix,"Chineseinvestors.com, Inc. ",1459482
1624,cim,CHIMERA INVESTMENT CORP ,1409493
1625,cinf,CINCINNATI FINANCIAL CORP ,20286
1626,cinr,Ciner Resources LP ,1575051
1627,cio,"City Office REIT, Inc. ",1593222
1628,cir,CIRCOR INTERNATIONAL INC ,1091883
1629,cirx,CIRTRAN CORP ,813716
1630,cisn,CISION LTD. ,1701040
1631,ciso,CERBERUS CYBER SENTINEL CORP ,1777319
1632,cit,CIT GROUP INC ,1171825
1633,cit-pb,CIT GROUP INC ,1171825
1634,civb,"CIVISTA BANCSHARES, INC. ",944745
1635,civi,"Civitas Solutions, Inc. ",1608638
1636,cix,COMPX INTERNATIONAL INC ,1049606
1637,cizn,CITIZENS HOLDING CO /MS/ ,1075706
1638,cjjd,"CHINA JO-JO DRUGSTORES, INC. ",1413263
1639,ckh,SEACOR HOLDINGS INC /NEW/ ,859598
1640,ckpt,"Checkpoint Therapeutics, Inc. ",1651407
1641,ckx,"CKX LANDS, INC. ",352955
1642,cl,COLGATE PALMOLIVE CO ,21665
1643,clad,"China Liaoning Dingxu Ecological Agriculture Development, Inc. ",1501958
1644,clar,Clarus Corp ,913277
1645,clb,CORE LABORATORIES N V ,1000229
1646,clbk,"Columbia Financial, Inc. ",1723596
1647,clbs,"CALADRIUS BIOSCIENCES, INC. ",320017
1648,clci,"CLIC TECHNOLOGY, INC. ",1658304
1649,clcn,CREATIVE LEARNING Corp ,1394638
1650,clcs,"Cell Source, Inc. ",1569340
1651,clct,COLLECTORS UNIVERSE INC ,1089143
1652,cldb,CORTLAND BANCORP INC ,774569
1653,cldc,"Roan Holdings Group Co., Ltd. ",1611852
1654,cldpq,CLOUD PEAK ENERGY INC. ,1441849
1655,cldr,"Cloudera, Inc. ",1535379
1656,cldt,Chatham Lodging Trust ,1476045
1657,cldx,"Celldex Therapeutics, Inc. ",744218
1658,cle,CLAIRES STORES INC ,34115
1659,cleu,China Liberal Education Holdings Ltd ,1775085
1660,clev,Concrete Leveling Systems Inc ,1414382
1661,clf,CLEVELAND-CLIFFS INC. ,764065
1662,clfd,"Clearfield, Inc. ",796505
1663,clgn,CollPlant Biotechnologies Ltd ,1631487
1664,clgx,"CORELOGIC, INC. ",36047
1665,clh,CLEAN HARBORS INC ,822818
1666,clhn,"Cole Haan, Inc. ",1791100
1667,clhrf,"CORAL GOLD RESOURCES, LTD. ",813639
1668,cli,MACK CALI REALTY CORP ,924901
1669,clir,ClearSign Technologies Corp ,1434524
1670,clis,ClickStream Corp ,1393548
1671,clls,Cellectis S.A. ,1627281
1672,clly,CNL LIFESTYLE PROPERTIES INC ,1261159
1673,clmt,"Calumet Specialty Products Partners, L.P. ",1340122
1674,clnc,"Colony Credit Real Estate, Inc. ",1717547
1675,clne,Clean Energy Fuels Corp. ,1368265
1676,clnh,"Clinigence Holdings, Inc. ",1479681
1677,clny,"Colony Capital, Inc. ",1679688
1678,clok,CIPHERLOC Corp ,1022505
1679,cloq,"CYBERLOQ TECHNOLOGIES, INC. ",1437517
1680,clow,"Cloudweb, Inc. ",1619227
1681,clpr,Clipper Realty Inc. ,1649096
1682,clps,CLPS Inc ,1724542
1683,clpt,"ClearPoint Neuro, Inc. ",1285550
1684,clr,"CONTINENTAL RESOURCES, INC ",732834
1685,clrb,"Cellectar Biosciences, Inc. ",1279704
1686,clrbz,"Cellectar Biosciences, Inc. ",1279704
1687,clri,"Cleartronic, Inc. ",1362516
1688,clro,CLEARONE INC ,840715
1689,cls,CELESTICA INC ,1030894
1690,clsd,"Clearside Biomedical, Inc. ",1539029
1691,clsh,"CLS Holdings USA, Inc. ",1522222
1692,clsi,CLANCY SYSTEMS INTERNATIONAL INC /CO/ ,789318
1693,clsk,"CLEANSPARK, INC. ",827876
1694,clsn,Celsion CORP ,749647
1695,clth,"CleanTech Biofuels, Inc. ",1411036
1696,club,TOWN SPORTS INTERNATIONAL HOLDINGS INC ,1281774
1697,clvs,"Clovis Oncology, Inc. ",1466301
1698,clw,Clearwater Paper Corp ,1441236
1699,clwd,"CLOUDCOMMERCE, INC. ",743758
1700,clwt,EURO TECH HOLDINGS CO LTD ,1026662
1701,clx,CLOROX CO /DE/ ,21076
1702,clxt,"Calyxt, Inc. ",1705843
1703,cm,CANADIAN IMPERIAL BANK OF COMMERCE /CAN/ ,1045520
1704,cma,COMERICA INC /NEW/ ,28412
1705,cmbm,Cambium Networks Corp ,1738177
1706,cmc,COMMERCIAL METALS Co ,22444
1707,cmci,"China Modern Agricultural Information, Inc. ",1479526
1708,cmcl,Caledonia Mining Corp Plc ,766011
1709,cmcm,Cheetah Mobile Inc. ,1597835
1710,cmco,COLUMBUS MCKINNON CORP ,1005229
1711,cmcsa,COMCAST CORP ,1166691
1712,cmct,CIM Commercial Trust Corp ,908311
1713,cmctp,CIM Commercial Trust Corp ,908311
1714,cmd,CANTEL MEDICAL CORP ,19446
1715,cmds,CloudMinds Inc. ,1770540
1716,cmdt,iSHARES COMMODITY OPTIMIZED TRUST ,1535365
1717,cme,CME GROUP INC. ,1156375
1718,cmfnl,"Investcorp Credit Management BDC, Inc. ",1578348
1719,cmft,COMMUNITY FIRST INC ,1179500
1720,cmg,CHIPOTLE MEXICAN GRILL INC ,1058090
1721,cmgo,"CMG HOLDINGS GROUP, INC. ",1346655
1722,cmhz,"Banny Cosmic International Holdings, Inc ",1040721
1723,cmi,CUMMINS INC ,26172
1724,cmls,CUMULUS MEDIA INC ,1058623
1725,cmo,CAPSTEAD MORTGAGE CORP ,766701
1726,cmp,COMPASS MINERALS INTERNATIONAL INC ,1227654
1727,cmpi,"Checkmate Pharmaceuticals, Inc. ",1651431
1728,cmpr,CIMPRESS plc ,1262976
1729,cmre,Costamare Inc. ,1503584
1730,cmre-pb,Costamare Inc. ,1503584
1731,cmre-pc,Costamare Inc. ,1503584
1732,cmre-pd,Costamare Inc. ,1503584
1733,cmre-pe,Costamare Inc. ,1503584
1734,cmro,COMARCO INC ,22252
1735,cmrx,CHIMERIX INC ,1117480
1736,cms,CMS ENERGY CORP ,811156
1737,cmsc,CMS ENERGY CORP ,811156
1738,cmsd,CMS ENERGY CORP ,811156
1739,cms-pb,CONSUMERS ENERGY CO ,201533
1740,cmt,CORE MOLDING TECHNOLOGIES INC ,1026655
1741,cmta,Clementia Pharmaceuticals Inc. ,1647320
1742,cmtl,COMTECH TELECOMMUNICATIONS CORP /DE/ ,23197
1743,cmtv,COMMUNITY BANCORP /VT ,718413
1744,cmxc,Cell MedX Corp. ,1493712
1745,cna,CNA FINANCIAL CORP ,21175
1746,cnab,United Cannabis Corp ,1436161
1747,cnabq,United Cannabis Corp ,1436161
1748,cnat,Histogen Inc. ,1383701
1749,cnbka,CENTURY BANCORP INC ,812348
1750,cnbx,Cannabics Pharmaceuticals Inc. ,1343009
1751,cnc,CENTENE CORP ,1071739
1752,cnce,"CONCERT PHARMACEUTICALS, INC. ",1367920
1753,cncg,CONCIERGE TECHNOLOGIES INC ,1005101
1754,cncl,CANCER CAPITAL CORP ,1130889
1755,cncn,Chun Can Capital Group ,1191334
1756,cnco,Cencosud S.A. ,1544856
1757,cnct,China Teletech Holding Inc ,1346287
1758,cndt,CONDUENT Inc ,1677703
1759,cnet,"ChinaNet Online Holdings, Inc. ",1376321
1760,cney,"CN ENERGY GROUP, INC. ",1780785
1761,cnf,CNFinance Holdings Ltd. ,1733868
1762,cnfn,CFN Enterprises Inc. ,1352952
1763,cnfr,"Conifer Holdings, Inc. ",1502292
1764,cngt,Cannagistics Inc. ,1304741
1765,cnhi,CNH Industrial N.V. ,1567094
1766,cni,CANADIAN NATIONAL RAILWAY CO ,16868
1767,cnig,Corning Natural Gas Holding Corp ,1582244
1768,cnjg,Jufeel International Group ,1725063
1769,cnk,"Cinemark Holdings, Inc. ",1385280
1770,cnlhn,CONNECTICUT LIGHT & POWER CO ,23426
1771,cnmd,CONMED CORP ,816956
1772,cnmf,"Canfield Medical Supply, Inc. ",1553788
1773,cnnb,"Cincinnati Bancorp, Inc. ",1787005
1774,cnnc,Cannonau Corp. ,1410187
1775,cnne,"Cannae Holdings, Inc. ",1704720
1776,cno,"CNO Financial Group, Inc. ",1224608
1777,cnob,"ConnectOne Bancorp, Inc. ",712771
1778,cnp,CENTERPOINT ENERGY INC ,1130310
1779,cnp-pb,CENTERPOINT ENERGY INC ,1130310
1780,cnq,CANADIAN NATURAL RESOURCES LTD ,1017413
1781,cnr,"Cornerstone Building Brands, Inc. ",883902
1782,cnrq,"China Soar Information Technology, Inc. ",1582586
1783,cns,"COHEN & STEERS, INC. ",1284812
1784,cnsl,"Consolidated Communications Holdings, Inc. ",1304421
1785,cnsp,"CNS Pharmaceuticals, Inc. ",1729427
1786,cnst,CONSTELLATION PHARMACEUTICALS INC ,1434418
1787,cntfy,China Techfaith Wireless Communication Technology LTD ,1316317
1788,cntg,Centogene N.V. ,1757097
1789,cnty,CENTURY CASINOS INC /CO/ ,911147
1790,cnwhf,China Networks International Holdings Ltd ,1443979
1791,cnx,CNX Resources Corp ,1070412
1792,cnxm,CNX Midstream Partners LP ,1610418
1793,cnxn,PC CONNECTION INC ,1050377
1794,cnxr,CONNECTURE INC ,1211759
1795,cny,MORGAN STANLEY ,895421
1796,co,Global Cord Blood Corp ,1467808
1797,cobz,COBIZ FINANCIAL INC ,1028734
1798,cocp,"Cocrystal Pharma, Inc. ",1412486
1799,coda,"Coda Octopus Group, Inc. ",1334325
1800,codi,Compass Diversified Holdings ,1345126
1801,codi-pa,Compass Diversified Holdings ,1345126
1802,codi-pb,Compass Diversified Holdings ,1345126
1803,codi-pc,Compass Diversified Holdings ,1345126
1804,codx,"Co-Diagnostics, Inc. ",1692415
1805,coe,China Online Education Group ,1659494
1806,cof,CAPITAL ONE FINANCIAL CORP ,927628
1807,cofe,"COFFEESMITHS COLLECTIVE, INC. ",1619055
1808,cof-pf,CAPITAL ONE FINANCIAL CORP ,927628
1809,cof-pg,CAPITAL ONE FINANCIAL CORP ,927628
1810,cof-pi,CAPITAL ONE FINANCIAL CORP ,927628
1811,cofs,CHOICEONE FINANCIAL SERVICES INC ,803164
1812,cog,CABOT OIL & GAS CORP ,858470
1813,coglf,CHELSEA OIL & GAS LTD. ,1061288
1814,cohn,Cohen & Co Inc. ,1270436
