id,ticker_symbol,company_name,cik_number
126,adma,"ADMA BIOLOGICS, INC. ",1368514
127,admg,ADAMANT DRI PROCESSING & MINERALS GROUP ,1171008
128,admp,Adamis Pharmaceuticals Corp ,887247
129,adms,Adamas Pharmaceuticals Inc ,1328143
130,admt,"ADM TRONICS UNLIMITED, INC. ",849401
131,adnt,Adient plc ,1670541
132,adom,"ADOMANI, INC. ",1563568
133,adp,AUTOMATIC DATA PROCESSING INC ,8670
134,adpt,Adaptive Biotechnologies Corp ,1478320
135,adro,"ADURO BIOTECH, INC. ",1435049
136,ads,ALLIANCE DATA SYSTEMS CORP ,1101215
137,adsk,"Autodesk, Inc. ",769397
138,adsv,"Allied Security Innovations, Inc. ",927454
139,adsw,"Advanced Disposal Services, Inc. ",1585790
140,adt,ADT Inc. ,1703056
141,adtn,ADTRAN INC ,926282
142,adtx,"ADiTx Therapeutics, Inc. ",1726711
143,adus,Addus HomeCare Corp ,1468328
144,advm,"Adverum Biotechnologies, Inc. ",1501756
145,advv,Adveco Group Inc. ,1698519
146,adxn,Addex Therapeutics Ltd. ,1574232
147,adxs,"Advaxis, Inc. ",1100397
148,adyx,"Adynxx, Inc. ",1054274
149,ae,"ADAMS RESOURCES & ENERGY, INC. ",2178
150,aee,AMEREN CORP ,1002910
151,aeg,AEGON NV ,769218
152,aegg,AMERICAN ENERGY GROUP LTD ,843212
153,aegn,Aegion Corp ,353020
154,aehr,AEHR TEST SYSTEMS ,1040470
155,aeis,ADVANCED ENERGY INDUSTRIES INC ,927003
156,ael,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO ,1039828
157,ael-pa,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO ,1039828
158,ael-pb,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO ,1039828
159,aem,AGNICO EAGLE MINES LTD ,2809
160,aemd,AETHLON MEDICAL INC ,882291
161,aeo,AMERICAN EAGLE OUTFITTERS INC ,919012
162,aep,AMERICAN ELECTRIC POWER CO INC ,4904
163,aep-pb,AMERICAN ELECTRIC POWER CO INC ,4904
164,aer,AerCap Holdings N.V. ,1378789
165,aerg,"APPLIED ENERGETICS, INC. ",879911
166,aeri,AERIE PHARMACEUTICALS INC ,1337553
167,aero,"AeroGrow International, Inc. ",1316644
168,aes,AES CORP ,874761
169,aese,"Allied Esports Entertainment, Inc. ",1708341
170,aesew,"Allied Esports Entertainment, Inc. ",1708341
171,aet,AETNA INC /PA/ ,1122304
172,aexl,AXELEREX CORP. ,1724001
173,aey,ADDVANTAGE TECHNOLOGIES GROUP INC ,874292
174,aeye,AUDIOEYE INC ,1362190
175,aezs,Aeterna Zentaris Inc. ,1113423
176,af,ASTORIA FINANCIAL CORP ,910322
177,afam,ALMOST FAMILY INC ,799231
178,afc,ARES CAPITAL CORP ,1287750
179,afg,AMERICAN FINANCIAL GROUP INC ,1042046
180,afgb,AMERICAN FINANCIAL GROUP INC ,1042046
181,afgc,AMERICAN FINANCIAL GROUP INC ,1042046
182,afgd,AMERICAN FINANCIAL GROUP INC ,1042046
183,afgh,AMERICAN FINANCIAL GROUP INC ,1042046
184,afh,"Atlas Financial Holdings, Inc. ",1539894
185,afhbl,"Atlas Financial Holdings, Inc. ",1539894
186,afi,"Armstrong Flooring, Inc. ",1655075
187,afib,"Acutus Medical, Inc. ",1522860
188,afin,"American Finance Trust, Inc ",1568162
189,afinp,"American Finance Trust, Inc ",1568162
190,afl,AFLAC INC ,4977
191,afmd,Affimed N.V. ,1608390
192,afom,ALL FOR ONE MEDIA CORP. ,1286459
193,afsi,"Amtrust Financial Services, Inc. ",1365555
194,aftm,"AFTERMASTER, INC. ",836809
195,afya,Afya Ltd ,1771007
196,ag,FIRST MAJESTIC SILVER CORP ,1308648
197,agba,AGBA Acquisition Ltd ,1769624
198,agbar,AGBA Acquisition Ltd ,1769624
199,agbau,AGBA Acquisition Ltd ,1769624
200,agbaw,AGBA Acquisition Ltd ,1769624
201,agco,AGCO CORP /DE ,880266
202,age,"AgeX Therapeutics, Inc. ",1708599
203,agen,AGENUS INC ,1098972
204,agfs,"AgroFresh Solutions, Inc. ",1592016
205,aggg,"ANTILIA GROUP, CORP. ",1691906
206,aggx,"AngioGenex, Inc. ",1085596
207,aghc,Aeon Global Health Corp. ,885074
208,aghi,"Agora Holdings, Inc. ",1680966
209,agi,ALAMOS GOLD INC ,1178819
210,agio,"AGIOS PHARMACEUTICALS, INC. ",1439222
211,agle,"Aeglea BioTherapeutics, Inc. ",1636282
212,agm,FEDERAL AGRICULTURAL MORTGAGE CORP ,845877
213,agm-a,FEDERAL AGRICULTURAL MORTGAGE CORP ,845877
214,agmh,"AGM GROUP HOLDINGS, INC. ",1705402
215,agm-pa,FEDERAL AGRICULTURAL MORTGAGE CORP ,845877
216,agm-pc,FEDERAL AGRICULTURAL MORTGAGE CORP ,845877
217,agm-pd,FEDERAL AGRICULTURAL MORTGAGE CORP ,845877
218,agm-pe,FEDERAL AGRICULTURAL MORTGAGE CORP ,845877
219,agn,Allergan plc ,1578845
220,agnc,AGNC Investment Corp. ,1423689
221,agncm,AGNC Investment Corp. ,1423689
222,agncn,AGNC Investment Corp. ,1423689
